dataset,field_name,field_type,missing_values,distinct_values
ga_peaches_acreage_raw,county_code,logical,90,1
ga_peaches_acreage_raw,asd_desc,logical,90,1
ga_peaches_acreage_raw,short_desc,character,0,3
ga_peaches_acreage_raw,year,numeric,0,20
ga_peaches_acreage_raw,watershed_desc,logical,90,1
ga_peaches_acreage_raw,county_name,logical,90,1
ga_peaches_acreage_raw,group_desc,character,0,1
ga_peaches_acreage_raw,state_ansi,numeric,0,1
ga_peaches_acreage_raw,begin_code,character,0,1
ga_peaches_acreage_raw,week_ending,logical,90,1
ga_peaches_acreage_raw,value_num,numeric,35,50
ga_peaches_acreage_raw,commodity,character,0,1
peaches_production_raw,begin_code,character,0,1
peaches_production_raw,state_ansi,character,118,45
peaches_production_raw,week_ending,logical,3094,1
peaches_production_raw,watershed_desc,logical,3094,1
peaches_production_raw,county_name,logical,3094,1
peaches_production_raw,group_desc,character,0,1
peaches_production_raw,year,numeric,0,27
peaches_production_raw,short_desc,character,0,36
peaches_production_raw,asd_desc,logical,3094,1
peaches_production_raw,county_code,logical,3094,1
peaches_production_raw,commodity_desc,character,0,1
peaches_production_raw,county_ansi,logical,3094,1
peaches_production_raw,sector_desc,character,0,1
peaches_production_raw,reference_period_desc,character,0,3
peaches_production_raw,statisticcat_desc,character,0,1
peaches_production_raw,unit_desc,character,0,6
peaches_production_raw,source_desc,character,0,2
peaches_production_raw,state_name,character,0,45
peaches_production_raw,country_name,character,0,1
peaches_production_raw,freq_desc,character,0,1
peaches_production_raw,end_code,character,0,1
peaches_production_raw,location_desc,character,0,45
peaches_production_raw,cv_percent,character,2950,50
peaches_production_raw,util_practice_desc,character,0,11
peaches_production_raw,value,numeric,691,1312
peaches_production_raw,country_code,numeric,0,1
peaches_production_raw,state_alpha,character,0,45
peaches_production_raw,domaincat_desc,character,0,4
peaches_production_raw,load_time,POSIXct,0,43
peaches_production_raw,domain_desc,character,0,2
peaches_production_raw,asd_code,logical,3094,1
peaches_production_raw,state_fips_code,character,0,45
peaches_production_raw,region_desc,logical,3094,1
peaches_production_raw,congr_district_code,logical,3094,1
peaches_production_raw,class_desc,character,0,3
peaches_production_raw,zip_5,logical,3094,1
peaches_production_raw,agg_level_desc,character,0,1
peaches_production_raw,watershed_code,character,0,1
peaches_production_raw,prodn_practice_desc,character,0,2
peaches_production_raw,value_num,numeric,691,1312
peaches_production_raw,commodity,character,0,1
blueberries_clean,year,numeric,0,19
blueberries_clean,state_name,character,0,14
blueberries_clean,state_alpha,character,0,14
blueberries_clean,commodity,character,0,1
blueberries_clean,short_desc,character,0,1
blueberries_clean,production,numeric,0,188
blueberries_clean,unit_desc,character,0,1
blueberry_ranked,year,numeric,0,19
blueberry_ranked,state_name,character,0,14
blueberry_ranked,state_alpha,character,0,14
blueberry_ranked,commodity,character,0,1
blueberry_ranked,short_desc,character,0,1
blueberry_ranked,production,numeric,0,188
blueberry_ranked,unit_desc,character,0,1
blueberry_ranked,national_total,numeric,0,19
blueberry_ranked,rank,numeric,0,13
blueberry_ranked,percent_of_us,numeric,0,201
ga_acres,year,numeric,0,20
ga_acres,commodity,character,0,2
ga_acres,acres,numeric,0,17
ga_acres,commodity_label,character,0,2
ga_blueberry_counties_clean,county_name,character,0,58
ga_blueberry_counties_clean,blueberry_acres,numeric,0,35
ga_summary,year,numeric,0,19
ga_summary,state_name,character,0,1
ga_summary,state_alpha,character,0,1
ga_summary,commodity,character,0,2
ga_summary,short_desc,character,0,2
ga_summary,production,numeric,0,38
ga_summary,unit_desc,character,0,2
ga_summary,national_total,numeric,0,38
ga_summary,rank,numeric,0,7
ga_summary,percent_of_us,numeric,0,38
ga_summary,commodity_label,character,0,2
peach_ranked,year,numeric,0,19
peach_ranked,state_name,character,0,29
peach_ranked,state_alpha,character,0,29
peach_ranked,commodity,character,0,1
peach_ranked,short_desc,character,0,1
peach_ranked,production,numeric,0,266
peach_ranked,unit_desc,character,0,1
peach_ranked,national_total,numeric,0,19
peach_ranked,rank,numeric,0,28
peach_ranked,percent_of_us,numeric,0,313
peaches_clean,year,numeric,0,19
peaches_clean,state_name,character,0,29
peaches_clean,state_alpha,character,0,29
peaches_clean,commodity,character,0,1
peaches_clean,short_desc,character,0,1
peaches_clean,production,numeric,0,266
peaches_clean,unit_desc,character,0,1
datawrapper_blueberry_bump_chart_selected_states,year,numeric,0,19
datawrapper_blueberry_bump_chart_selected_states,crop,character,0,1
datawrapper_blueberry_bump_chart_selected_states,state_name,character,0,6
datawrapper_blueberry_bump_chart_selected_states,state_alpha,character,0,6
datawrapper_blueberry_bump_chart_selected_states,national_rank,numeric,0,7
datawrapper_blueberry_bump_chart_selected_states,production,numeric,0,109
datawrapper_blueberry_bump_chart_selected_states,unit_desc,character,0,1
datawrapper_blueberry_bump_chart_selected_states,national_total,numeric,0,19
datawrapper_blueberry_bump_chart_selected_states,percent_of_us,numeric,0,113
datawrapper_ga_peach_blueberry_acres,year,numeric,0,2
datawrapper_ga_peach_blueberry_acres,commodity,character,0,2
datawrapper_ga_peach_blueberry_acres,bearing_acres,numeric,0,4
datawrapper_georgia_peach_blueberry_production_lbs,year,numeric,0,19
datawrapper_georgia_peach_blueberry_production_lbs,commodity,character,0,2
datawrapper_georgia_peach_blueberry_production_lbs,production_original_units,numeric,0,38
datawrapper_georgia_peach_blueberry_production_lbs,original_unit,character,0,2
datawrapper_georgia_peach_blueberry_production_lbs,production_lbs,numeric,0,38
datawrapper_georgia_peach_blueberry_production_lbs,national_rank,numeric,0,7
datawrapper_georgia_peach_blueberry_production_lbs,percent_of_us,numeric,0,38
datawrapper_peach_bump_chart_selected_states,year,numeric,0,19
datawrapper_peach_bump_chart_selected_states,crop,character,0,1
datawrapper_peach_bump_chart_selected_states,state_name,character,0,6
datawrapper_peach_bump_chart_selected_states,state_alpha,character,0,6
datawrapper_peach_bump_chart_selected_states,national_rank,numeric,0,9
datawrapper_peach_bump_chart_selected_states,production,numeric,0,109
datawrapper_peach_bump_chart_selected_states,unit_desc,character,0,1
datawrapper_peach_bump_chart_selected_states,national_total,numeric,0,19
datawrapper_peach_bump_chart_selected_states,percent_of_us,numeric,0,113
ga_crop_acreage,year,numeric,0,2
ga_crop_acreage,commodity,character,0,2
ga_crop_acreage,acres,numeric,0,4
ga_crop_acreage,commodity_label,character,0,2
ga_production_comparison,year,numeric,0,19
ga_production_comparison,state_name,character,0,1
ga_production_comparison,state_alpha,character,0,1
ga_production_comparison,commodity,character,0,2
ga_production_comparison,short_desc,character,0,2
ga_production_comparison,production,numeric,0,38
ga_production_comparison,unit_desc,character,0,2
ga_production_comparison,national_total,numeric,0,38
ga_production_comparison,rank,numeric,0,7
ga_production_comparison,percent_of_us,numeric,0,38
ga_production_comparison,commodity_label,character,0,2
ga_production_comparison,production_lbs,numeric,0,38
latest_blueberry_rankings,year,numeric,0,1
latest_blueberry_rankings,state_name,character,0,8
latest_blueberry_rankings,state_alpha,character,0,8
latest_blueberry_rankings,commodity,character,0,1
latest_blueberry_rankings,short_desc,character,0,1
latest_blueberry_rankings,production,numeric,0,8
latest_blueberry_rankings,unit_desc,character,0,1
latest_blueberry_rankings,national_total,numeric,0,1
latest_blueberry_rankings,rank,numeric,0,8
latest_blueberry_rankings,percent_of_us,numeric,0,8
latest_peach_rankings,year,numeric,0,1
latest_peach_rankings,state_name,character,0,7
latest_peach_rankings,state_alpha,character,0,7
latest_peach_rankings,commodity,character,0,1
latest_peach_rankings,short_desc,character,0,1
latest_peach_rankings,production,numeric,0,7
latest_peach_rankings,unit_desc,character,0,1
latest_peach_rankings,national_total,numeric,0,1
latest_peach_rankings,rank,numeric,0,7
latest_peach_rankings,percent_of_us,numeric,0,7
reporter_acreage_findings,year,numeric,0,1
reporter_acreage_findings,commodity_label,character,0,2
reporter_acreage_findings,acres,numeric,0,2
reporter_brief_key_findings,commodity_label,character,0,2
reporter_brief_key_findings,finding,character,0,2
reporter_brief_key_findings,year,numeric,0,1
reporter_brief_key_findings,value,numeric,0,1
reporter_bump_chart_findings,crop,character,0,2
reporter_bump_chart_findings,state_name,character,0,8
reporter_bump_chart_findings,state_alpha,character,0,8
reporter_bump_chart_findings,year,numeric,0,1
reporter_bump_chart_findings,rank,numeric,0,6
reporter_bump_chart_findings,production,numeric,0,12
reporter_bump_chart_findings,percent_of_us,numeric,0,12
top_blueberry_counties,county_name,character,0,20
top_blueberry_counties,blueberry_acres,numeric,0,20
