year,state_name,state_alpha,commodity,short_desc,production,unit_desc,rank,national_total,pct_of_us
2013,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",51400000,LB,6,538570000,0.09543791893347198
2012,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",40900000,LB,6,455800000,0.08973233874506363
2011,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",42100000,LB,6,437000000,0.09633867276887872
2010,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",28000000,LB,7,410830000,0.06815471119441131
2009,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",24200000,LB,7,364900000,0.06631953959989038
2008,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",14000000,LB,7,348660000,0.04015373142889921
2007,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",16500000,LB,5,286780000,0.05753539298416905
2025,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",23960000,LB,8,760550000,0.031503517191506146
2024,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",29350000,LB,8,789460000,0.037177311073391936
2023,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",21410000,LB,8,643910000,0.0332499883524095
2022,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",32370000,LB,8,671470000,0.048207663782447466
2021,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",31910000,LB,8,698170000,0.04570520073907501
2020,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",21700000,LB,8,668940000,0.032439381708374446
2019,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",27330000,LB,8,719580000,0.03798048861836071
2018,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",21510000,LB,8,569190000,0.037790544457913876
2017,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",19990000,LB,8,512740000,0.03898662089948122
2016,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",14600000,LB,8,588790000,0.024796616790366686
2015,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",24800000,LB,8,555320000,0.04465893538860477
2014,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",19000000,LB,8,565640000,0.033590269429319
2013,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",19500000,LB,8,538570000,0.036206992591492286
2012,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",17100000,LB,8,455800000,0.03751645458534445
2011,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",21400000,LB,8,437000000,0.04897025171624714
2010,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",16400000,LB,8,410830000,0.03991918798529805
2009,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",13500000,LB,8,364900000,0.036996437380104136
2008,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",9800000,LB,8,348660000,0.02810761200022945
2007,FLORIDA,FL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",7800000,LB,9,286780000,0.027198549410698096
2025,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",116720000,LB,3,760550000,0.1534678850831635
2024,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",135790000,LB,3,789460000,0.1720036480632331
2023,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",99060000,LB,3,643910000,0.15384137534748646
2022,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",69480000,LB,3,671470000,0.1034744664690902
2021,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",101390000,LB,3,698170000,0.14522251027686667
2020,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",81550000,LB,3,668940000,0.12190928932340718
2019,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",121260000,LB,3,719580000,0.16851496706412072
2018,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",60600000,LB,5,569190000,0.1064670848047225
2017,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",32810000,LB,6,512740000,0.06398954635877833
2016,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",70000000,LB,4,588790000,0.11888788872093616
2015,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",84000000,LB,3,555320000,0.15126413599366131
2014,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",92000000,LB,3,565640000,0.16264762039459726
2013,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",65550000,LB,4,538570000,0.12171119817293945
2012,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",64000000,LB,4,455800000,0.14041246160596754
2011,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",62000000,LB,3,437000000,0.14187643020594964
2010,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",58000000,LB,2,410830000,0.1411776160455663
2009,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",43000000,LB,4,364900000,0.1178405042477391
2008,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",41000000,LB,4,348660000,0.11759307061320484
2007,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",11000000,LB,7,286780000,0.0383569286561127
2015,INDIANA,IN,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1600000,LB,11,555320000,0.002881221637974501
2014,INDIANA,IN,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",2000000,LB,10,565640000,0.003535817834665158
2013,INDIANA,IN,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",3000000,LB,10,538570000,0.005570306552537274
2012,INDIANA,IN,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1500000,LB,11,455800000,0.003290917068889864
2011,INDIANA,IN,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1600000,LB,11,437000000,0.0036613272311212816
2010,INDIANA,IN,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",3600000,LB,10,410830000,0.008762748582138597
2009,INDIANA,IN,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",3700000,LB,10,364900000,0.010139764318991504
2008,INDIANA,IN,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",3800000,LB,10,348660000,0.010898869959272644
2007,INDIANA,IN,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1400000,LB,11,286780000,0.004881790919868889
2025,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",76590000,LB,5,760550000,0.10070343830122937
2024,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",83740000,LB,4,789460000,0.10607250525675778
2023,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",86800000,LB,4,643910000,0.13480144740724637
2022,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",68650000,LB,4,671470000,0.10223837252595053
2021,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",66600000,LB,5,698170000,0.09539223971239097
2020,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",76750000,LB,4,668940000,0.11473375788561006
2019,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",84900000,LB,4,719580000,0.11798549153672976
2018,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",72030000,LB,3,569190000,0.12654825278026668
2017,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",100200000,LB,3,512740000,0.19542068104692437
2016,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",110000000,LB,3,588790000,0.18682382513289966
2015,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",73100000,LB,4,555320000,0.13163581358496002
2014,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",99000000,LB,1,565640000,0.17502298281592532
2013,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",117000000,LB,1,538570000,0.2172419555489537
2012,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",87000000,LB,1,455800000,0.19087318999561212
2011,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",72000000,LB,1,437000000,0.16475972540045766
2010,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",109000000,LB,1,410830000,0.26531655429252976
2009,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",99000000,LB,1,364900000,0.27130720745409703
2008,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",110000000,LB,1,348660000,0.3154936040842081
2007,MICHIGAN,MI,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",93000000,LB,1,286780000,0.32429039681986194
2017,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",3450000,LB,9,512740000,0.006728556383352186
2016,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",7400000,LB,9,588790000,0.012568148236213252
2015,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",5800000,LB,9,555320000,0.010444428437657567
2014,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",7300000,LB,9,565640000,0.012905735096527827
2013,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",6300000,LB,9,538570000,0.011697643760328277
2012,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",9000000,LB,9,455800000,0.019745502413339184
2011,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",10500000,LB,9,437000000,0.02402745995423341
2010,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",8000000,LB,9,410830000,0.01947277462697466
2009,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",5900000,LB,9,364900000,0.016168813373526995
2008,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",4000000,LB,9,348660000,0.011472494693971205
2007,MISSISSIPPI,MS,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",9500000,LB,8,286780000,0.033126438384824604
2025,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",47530000,LB,7,760550000,0.06249424758398527
2024,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",42390000,LB,7,789460000,0.05369493071213234
2023,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",50150000,LB,7,643910000,0.07788355515522355
2022,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",51180000,LB,6,671470000,0.07622082892757681
2021,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",60560000,LB,6,698170000,0.0867410516063423
2020,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",51880000,LB,6,668940000,0.07755553562352378
2019,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",51040000,LB,6,719580000,0.07093026487673365
2018,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",49940000,LB,6,569190000,0.08773871642158154
2017,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",40770000,LB,5,512740000,0.07951398369544019
2016,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",43990000,LB,7,588790000,0.07471254606905688
2015,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",49030000,LB,7,555320000,0.08829143556868112
2014,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",55580000,LB,5,565640000,0.09826037762534474
2013,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",62050000,LB,5,538570000,0.1152125071949793
2012,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",51500000,LB,5,455800000,0.112988152698552
2011,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",62000000,LB,3,437000000,0.14187643020594964
2010,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",49000000,LB,4,410830000,0.1192707445902198
2009,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",53000000,LB,2,364900000,0.14524527267744589
2008,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",59000000,LB,2,348660000,0.16921929673607525
2007,NEW JERSEY,NJ,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",54000000,LB,2,286780000,0.18829764976637142
2017,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1540000,LB,10,512740000,0.00300347154503257
2016,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1350000,LB,10,588790000,0.0022928378539037687
2015,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1720000,LB,10,555320000,0.0030973132608225888
2014,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1550000,LB,11,565640000,0.0027402588218654973
2013,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1760000,LB,11,538570000,0.0032679131774885346
2012,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1700000,LB,10,455800000,0.0037297060114085123
2011,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",1800000,LB,10,437000000,0.004118993135011442
2010,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",2100000,LB,11,410830000,0.005111603339580849
2009,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",2100000,LB,11,364900000,0.0057550013702384216
2008,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",2300000,LB,11,348660000,0.006596684449033443
2007,NEW YORK,NY,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",2300000,LB,10,286780000,0.008020085082641746
2025,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",48580000,LB,6,760550000,0.06387482742751956
2024,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",49650000,LB,6,789460000,0.06289109011222861
2023,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",54130000,LB,6,643910000,0.08406454318150051
2022,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",43530000,LB,7,671470000,0.0648279148733376
2021,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",40380000,LB,7,698170000,0.057836916510305515
2020,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",38490000,LB,7,668940000,0.05753879271683559
2019,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",39420000,LB,7,719580000,0.0547819561410823
2018,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",34780000,LB,7,569190000,0.06110437639452555
2017,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",25330000,LB,7,512740000,0.04940125599719156
2016,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",46000000,LB,6,588790000,0.07812632687375805
2015,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",49500000,LB,6,555320000,0.08913779442483613
2014,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",48800000,LB,7,565640000,0.08627395516582986
2013,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",40000000,LB,7,538570000,0.07427075403383032
2012,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",40000000,LB,7,455800000,0.0877577885037297
2011,NORTH CAROLINA,NC,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",36200000,LB,7,437000000,0.082837528604119
