year,crop,state_name,state_alpha,national_rank,production,unit_desc,national_total,pct_of_us
2019,Blueberries,GEORGIA,GA,3,121260000,LB,719580000,0.16851496706412072
2020,Blueberries,GEORGIA,GA,3,81550000,LB,668940000,0.12190928932340718
2021,Blueberries,GEORGIA,GA,3,101390000,LB,698170000,0.14522251027686667
2022,Blueberries,GEORGIA,GA,3,69480000,LB,671470000,0.1034744664690902
2023,Blueberries,GEORGIA,GA,3,99060000,LB,643910000,0.15384137534748646
2024,Blueberries,GEORGIA,GA,3,135790000,LB,789460000,0.1720036480632331
2025,Blueberries,GEORGIA,GA,3,116720000,LB,760550000,0.1534678850831635
2007,Blueberries,MICHIGAN,MI,1,93000000,LB,286780000,0.32429039681986194
2008,Blueberries,MICHIGAN,MI,1,110000000,LB,348660000,0.3154936040842081
2009,Blueberries,MICHIGAN,MI,1,99000000,LB,364900000,0.27130720745409703
2010,Blueberries,MICHIGAN,MI,1,109000000,LB,410830000,0.26531655429252976
2011,Blueberries,MICHIGAN,MI,1,72000000,LB,437000000,0.16475972540045766
2012,Blueberries,MICHIGAN,MI,1,87000000,LB,455800000,0.19087318999561212
2013,Blueberries,MICHIGAN,MI,1,117000000,LB,538570000,0.2172419555489537
2014,Blueberries,MICHIGAN,MI,1,99000000,LB,565640000,0.17502298281592532
2015,Blueberries,MICHIGAN,MI,4,73100000,LB,555320000,0.13163581358496002
2016,Blueberries,MICHIGAN,MI,3,110000000,LB,588790000,0.18682382513289966
2017,Blueberries,MICHIGAN,MI,3,100200000,LB,512740000,0.19542068104692437
2018,Blueberries,MICHIGAN,MI,3,72030000,LB,569190000,0.12654825278026668
2019,Blueberries,MICHIGAN,MI,4,84900000,LB,719580000,0.11798549153672976
2020,Blueberries,MICHIGAN,MI,4,76750000,LB,668940000,0.11473375788561006
2021,Blueberries,MICHIGAN,MI,5,66600000,LB,698170000,0.09539223971239097
2022,Blueberries,MICHIGAN,MI,4,68650000,LB,671470000,0.10223837252595053
2023,Blueberries,MICHIGAN,MI,4,86800000,LB,643910000,0.13480144740724637
2024,Blueberries,MICHIGAN,MI,4,83740000,LB,789460000,0.10607250525675778
2025,Blueberries,MICHIGAN,MI,5,76590000,LB,760550000,0.10070343830122937
2007,Blueberries,NEW JERSEY,NJ,2,54000000,LB,286780000,0.18829764976637142
2008,Blueberries,NEW JERSEY,NJ,2,59000000,LB,348660000,0.16921929673607525
2009,Blueberries,NEW JERSEY,NJ,2,53000000,LB,364900000,0.14524527267744589
2010,Blueberries,NEW JERSEY,NJ,4,49000000,LB,410830000,0.1192707445902198
2011,Blueberries,NEW JERSEY,NJ,3,62000000,LB,437000000,0.14187643020594964
2012,Blueberries,NEW JERSEY,NJ,5,51500000,LB,455800000,0.112988152698552
2013,Blueberries,NEW JERSEY,NJ,5,62050000,LB,538570000,0.1152125071949793
2014,Blueberries,NEW JERSEY,NJ,5,55580000,LB,565640000,0.09826037762534474
2015,Blueberries,NEW JERSEY,NJ,7,49030000,LB,555320000,0.08829143556868112
2016,Blueberries,NEW JERSEY,NJ,7,43990000,LB,588790000,0.07471254606905688
2017,Blueberries,NEW JERSEY,NJ,5,40770000,LB,512740000,0.07951398369544019
2018,Blueberries,NEW JERSEY,NJ,6,49940000,LB,569190000,0.08773871642158154
2019,Blueberries,NEW JERSEY,NJ,6,51040000,LB,719580000,0.07093026487673365
2020,Blueberries,NEW JERSEY,NJ,6,51880000,LB,668940000,0.07755553562352378
2021,Blueberries,NEW JERSEY,NJ,6,60560000,LB,698170000,0.0867410516063423
2022,Blueberries,NEW JERSEY,NJ,6,51180000,LB,671470000,0.07622082892757681
2023,Blueberries,NEW JERSEY,NJ,7,50150000,LB,643910000,0.07788355515522355
2024,Blueberries,NEW JERSEY,NJ,7,42390000,LB,789460000,0.05369493071213234
2025,Blueberries,NEW JERSEY,NJ,7,47530000,LB,760550000,0.06249424758398527
2007,Blueberries,OREGON,OR,3,45000000,LB,286780000,0.15691470813864286
2008,Blueberries,OREGON,OR,3,43100000,LB,348660000,0.12361613032753972
2009,Blueberries,OREGON,OR,3,48000000,LB,364900000,0.1315428884625925
2010,Blueberries,OREGON,OR,3,54600000,LB,410830000,0.13290168682910206
2011,Blueberries,OREGON,OR,2,65500000,LB,437000000,0.14988558352402745
2012,Blueberries,OREGON,OR,2,72000000,LB,455800000,0.15796401930671347
2013,Blueberries,OREGON,OR,2,89500000,LB,538570000,0.16618081215069536
2014,Blueberries,OREGON,OR,4,88400000,LB,565640000,0.1562831482922
2015,Blueberries,OREGON,OR,2,96900000,LB,555320000,0.17449398544983072
2016,Blueberries,OREGON,OR,2,116100000,LB,588790000,0.19718405543572412
2017,Blueberries,OREGON,OR,2,108900000,LB,512740000,0.21238834497016032
2018,Blueberries,OREGON,OR,1,134750000,LB,569190000,0.23673992867056695
2019,Blueberries,OREGON,OR,1,162530000,LB,719580000,0.22586786736707523
2020,Blueberries,OREGON,OR,2,161360000,LB,668940000,0.2412174485006129
2021,Blueberries,OREGON,OR,2,152920000,LB,698170000,0.21902974920148388
2022,Blueberries,OREGON,OR,2,166320000,LB,671470000,0.24769535496745945
2023,Blueberries,OREGON,OR,2,129370000,LB,643910000,0.2009131710953394
2024,Blueberries,OREGON,OR,2,164840000,LB,789460000,0.2088009525498442
2025,Blueberries,OREGON,OR,2,173300000,LB,760550000,0.2278614160804681
2007,Blueberries,WASHINGTON,WA,4,29600000,LB,286780000,0.10321500802008508
2008,Blueberries,WASHINGTON,WA,5,32000000,LB,348660000,0.09177995755176964
2009,Blueberries,WASHINGTON,WA,5,39000000,LB,364900000,0.1068785968758564
2010,Blueberries,WASHINGTON,WA,5,42000000,LB,410830000,0.10223206679161698
2011,Blueberries,WASHINGTON,WA,5,61000000,LB,437000000,0.13958810068649885
2012,Blueberries,WASHINGTON,WA,3,70000000,LB,455800000,0.153576129881527
2013,Blueberries,WASHINGTON,WA,3,81600000,LB,538570000,0.15151233822901386
2014,Blueberries,WASHINGTON,WA,2,95800000,LB,565640000,0.16936567428046106
2015,Blueberries,WASHINGTON,WA,1,103950000,LB,555320000,0.18718936829215588
2016,Blueberries,WASHINGTON,WA,1,119650000,LB,588790000,0.20321336979228588
2017,Blueberries,WASHINGTON,WA,1,117150000,LB,512740000,0.22847837110426336
2018,Blueberries,WASHINGTON,WA,2,132110000,LB,569190000,0.23210175863947013
2019,Blueberries,WASHINGTON,WA,2,161320000,LB,719580000,0.2241863309152561
2020,Blueberries,WASHINGTON,WA,1,164180000,LB,668940000,0.2454330732203187
2021,Blueberries,WASHINGTON,WA,1,161840000,LB,698170000,0.23180600713293323
2022,Blueberries,WASHINGTON,WA,1,175830000,LB,671470000,0.26185831087018036
2023,Blueberries,WASHINGTON,WA,1,138860000,LB,643910000,0.21565125561025608
2024,Blueberries,WASHINGTON,WA,1,206790000,LB,789460000,0.2619385402680313
2025,Blueberries,WASHINGTON,WA,1,192400000,LB,760550000,0.25297482085332984
