year,state_name,state_alpha,commodity,short_desc,production,unit_desc,rank,national_total,pct_of_us,commodity_label
2017,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",32810000,LB,6,512740000,0.06398954635877833,Blueberries
2018,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",60600000,LB,5,569190000,0.1064670848047225,Blueberries
2019,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",121260000,LB,3,719580000,0.16851496706412072,Blueberries
2020,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",81550000,LB,3,668940000,0.12190928932340718,Blueberries
2021,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",101390000,LB,3,698170000,0.14522251027686667,Blueberries
2022,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",69480000,LB,3,671470000,0.1034744664690902,Blueberries
2023,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",99060000,LB,3,643910000,0.15384137534748646,Blueberries
2024,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",135790000,LB,3,789460000,0.1720036480632331,Blueberries
2025,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",116720000,LB,3,760550000,0.1534678850831635,Blueberries
2007,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",12000,TONS,6,1115895,0.010753699944887288,Peaches
2008,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",25000,TONS,4,1113180,0.022458182863508147,Peaches
2009,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",30000,TONS,4,1082420,0.027715674137580606,Peaches
2010,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",38500,TONS,3,1129770,0.034077732635846236,Peaches
2011,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",33600,TONS,3,1042340,0.03223516319051365,Peaches
2012,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",33100,TONS,3,955890,0.03462741528837,Peaches
2013,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",34810,TONS,3,890181,0.0391044068565831,Peaches
2014,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",33000,TONS,3,837907,0.039383845701253244,Peaches
2015,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",33700,TONS,3,823005,0.040947503356601724,Peaches
2016,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",39500,TONS,3,775230,0.05095262051262206,Peaches
2017,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",9600,TONS,7,694220,0.013828469361297571,Peaches
2018,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",21960,TONS,3,645790,0.03400486226172595,Peaches
2019,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",31360,TONS,3,665420,0.047128129602356406,Peaches
2020,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",28070,TONS,3,646260,0.0434345309937177,Peaches
2021,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",26980,TONS,3,674060,0.04002611043527282,Peaches
2022,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",21380,TONS,3,632650,0.03379435706946969,Peaches
2023,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4790,TONS,8,578400,0.008281466113416321,Peaches
2024,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",33050,TONS,3,681120,0.048523020906741834,Peaches
2025,GEORGIA,GA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",31310,TONS,3,684750,0.04572471705001825,Peaches
